გაჩეჩილაძე გიორგი	გიორგი	გაჩეჩილაძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=198:gachechiladze-giorgi&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44006	79	1	http://ka.wikipedia.org/w/index.php?search=გაჩეჩილაძე%20გიორგი	https://twitter.com/search?q=გაჩეჩილაძე%20გიორგი	http://www.facebook.com/search.php?q=გაჩეჩილაძე%20გიორგი	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გაჩეჩილაძე%20გიორგი 
გელაშვილი გელა	გელა	გელაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=150:gelashvili-gela&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44007	79	1	http://ka.wikipedia.org/w/index.php?search=გელაშვილი%20გელა	https://twitter.com/search?q=გელაშვილი%20გელა	http://www.facebook.com/search.php?q=გელაშვილი%20გელა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გელაშვილი%20გელა 
გელაშვილი ვალერ	ვალერ	გელაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=152:gelashvili-valeri&amp;Itemid=129&amp;lang=ge	Last Asset Declaration	Number of days between electiondate and submission of Last Asset Declaration	0	http://ka.wikipedia.org/w/index.php?search=გელაშვილი%20ვალერ	https://twitter.com/search?q=გელაშვილი%20ვალერ	http://www.facebook.com/search.php?q=გელაშვილი%20ვალერ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გელაშვილი%20ვალერ 
გოგორიშვილი ხათუნა	ხათუნა	გოგორიშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=42:gogorishvili-khatuna&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46000	233	4	http://ka.wikipedia.org/w/index.php?search=გოგორიშვილი%20ხათუნა	https://twitter.com/search?q=გოგორიშვილი%20ხათუნა	http://www.facebook.com/search.php?q=გოგორიშვილი%20ხათუნა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გოგორიშვილი%20ხათუნა 
გოგუაძე ნინო	ნინო	გოგუაძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=200:goguadze-nino&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44009	51	1	http://ka.wikipedia.org/w/index.php?search=გოგუაძე%20ნინო	https://twitter.com/search?q=გოგუაძე%20ნინო	http://www.facebook.com/search.php?q=გოგუაძე%20ნინო	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გოგუაძე%20ნინო 
გოზალიშვილი გიორგი	გიორგი	გოზალიშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=201:gozalishvili-giorgi&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46887	330	1	http://ka.wikipedia.org/w/index.php?search=გოზალიშვილი%20გიორგი	https://twitter.com/search?q=გოზალიშვილი%20გიორგი	http://www.facebook.com/search.php?q=გოზალიშვილი%20გიორგი	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გოზალიშვილი%20გიორგი 
გუჯაბიძე ბიძინა	ბიძინა	გუჯაბიძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=199:gujabidze-bidzina&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44099	81	1	http://ka.wikipedia.org/w/index.php?search=გუჯაბიძე%20ბიძინა	https://twitter.com/search?q=გუჯაბიძე%20ბიძინა	http://www.facebook.com/search.php?q=გუჯაბიძე%20ბიძინა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=გუჯაბიძე%20ბიძინა 
დარჩიაშვილი დავით	დავით	დარჩიაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=26:darchiashvili-david&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=45798	224	4	http://ka.wikipedia.org/w/index.php?search=დარჩიაშვილი%20დავით	https://twitter.com/search?q=დარჩიაშვილი%20დავით	http://www.facebook.com/search.php?q=დარჩიაშვილი%20დავით	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=დარჩიაშვილი%20დავით 
დარცმელიძე დავით	დავით	დარცმელიძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=211:dartsmelidze-david&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=45977	234	1	http://ka.wikipedia.org/w/index.php?search=დარცმელიძე%20დავით	https://twitter.com/search?q=დარცმელიძე%20დავით	http://www.facebook.com/search.php?q=დარცმელიძე%20დავით	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=დარცმელიძე%20დავით 
დარზიევი მახირ	მახირ	დარზიევი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=239:darziev-makhir&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44536	84	1	http://ka.wikipedia.org/w/index.php?search=დარზიევი%20მახირ	https://twitter.com/search?q=დარზიევი%20მახირ	http://www.facebook.com/search.php?q=დარზიევი%20მახირ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=დარზიევი%20მახირ 
