<?xml version="1.0" encoding="UTF-8"?>
გელაშვილი	ემზარი	სპორტისა და ახალგაზრდულ საქმეთა კომიტეტი	2008-10-31	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის ოქტომბერი 
როინიშვილი	გიორგი	ევროპასთან ინტეგრაციის კომიტეტი	2008-09-05	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის სექტემბერი 
მახნიაშვილი	დავით	ევროპასთან ინტეგრაციის კომიტეტი	2008-09-26	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის სექტემბერი 
ანჯაფარიძე	კახაბერ	საპროცედურო საკითხთა და წესების კომიტეტი	2008-09-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2008 წლის სექტემბერი 
ვახტანგ	მარტოლეკი	თავდაცვისა და უშიშროების კომიტეტი	2009-12-10	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის დეკემბერი 
მაგდალინა	ანიკაშვილი	საპროცედურო საკითხთა და წესების კომიტეტი	2009-12-08	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის დეკემბერი 
გიორგი	გოგუაძე	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	202009-12-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის დეკემბერი 
კობა	კურდღელაშვილი	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	202009-12-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის დეკემბერი 
მამუკა	სანებლიძე	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	202009-12-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის დეკემბერი 
კახაბერ	ოქრიაშვილი	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	202009-12-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის დეკემბერი 
